Researcher,Code,GrantID,Start,End,Title,Value
S Woodley,smw,EP/W026775/1,01/12/2021,30/11/2024,Particles At eXascale on High Performance,3041191
S Woodley,smw,EP/T026715/2,01/11/2021,28/05/2025,CCP-QC: Collaborative Computational Project - Quantum,140063
S Woodley,smw,EP/W00772X/2,01/11/2021,01/08/2024,Quantum Enhanced and Verified Exascale Computing,1007642
S Woodley,smw,EP/W007711/1,02/08/2021,01/08/2024,Software Environment for Actionable & VVUQ-evaluated,728470
S Woodley,smw,EP/T022213/1,01/01/2020,31/12/2023,The Materials and Molecular Modelling,4510208
S Woodley,smw,EP/R029431/1,01/11/2018,31/12/2022,HIGH END COMPUTING MATERIALS CHEMISTRY,489316
S Woodley,smw,EP/W032260/1,01/11/2021,31/03/2022,Introducing heterogeneous HPC solutions to UK's,757879
S Woodley,smw,EP/W00772X/1,02/08/2021,31/10/2021,Quantum Enhanced and Verified Exascale Computing,1015931
S Woodley,smw,EP/T026715/1,01/06/2020,31/10/2021,CCP-QC: Collaborative Computational Project - Quantum,163421
S Woodley,smw,EP/V001507/1,01/05/2020,31/12/2021,Materials and Molecular Modelling Exascale Design,95728
A Sokol,sok,EP/W014580/1,01/04/2022,31/03/2026,Predictive multiscale free energy simulations of,834869
A Sokol,sok,EP/W026775/1,01/12/2021,30/11/2024,Particles At eXascale on High Performance,3041191
A Sokol,sok,EP/R029431/1,01/11/2018,31/12/2022,HIGH END COMPUTING MATERIALS CHEMISTRY,489316
A Sokol,sok,EP/R043612/1,01/10/2018,31/03/2022,Boundary Conditions for Atomistic Simulation of,442958
A Sokol,sok,EP/R001847/1,01/01/2018,30/04/2022,Transition metal controlled nitrogen chemistry in,1022120
R Catlow,cat,EP/W017075/1,16/05/2022,15/05/2028,New perspectives in photocatalysis and near-surface,7902074
R Catlow,cat,EP/W021463/1,01/05/2022,30/04/2027,The UK Dynamic Nuclear Polarisation Magic,2881145
