a0	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Spin Moment (uB)
2.1	-33363.81877563400	0.00000000000	5.13030000000	-33363.92233027250	0.00000000000	2.46130000000	-33363.98441541500	0.00000000000	4.5845	9.4429346
2.11	-33363.88800960580	0.00000000000	5.16170000000	-33363.98520030880	0.00000000000	2.57790000000	-33364.04408577970	0.00000000000	4.649	9.45647
2.12	-33363.95046731590	0.00000000000	5.19110000000	-33364.04161996700	0.00000000000	2.69090000000	-33364.09737347250	0.00000000000	4.5725	9.4698202
2.13	-33364.00622095740	0.00000000000	5.21940000000	-33364.09173917930	0.00000000000	2.80080000000	-33364.14464167160	0.00000000000	4.5023	9.4818866
2.14	-33364.05554515470	0.00000000000	5.24560000000	-33364.13578407520	0.00000000000	2.90790000000	-33364.18590221810	0.00000000000	4.4269	9.4942196
2.15	-33364.09891225540	0.00000000000	5.27060000000	-33364.17416414120	0.00000000000	3.01220000000	-33364.22159629180	0.00000000000	4.3562	9.5062358
2.16	-33364.13642257030	0.00000000000	5.29400000000	-33364.20693097710	0.00000000000	3.08260000000	-33364.25189875850	0.00000000000	4.2877	9.5186052
2.17	-33364.16745645900	0.00000000000	5.31590000000	-33364.23362753470	0.00000000000	3.03880000000	-33364.27615580590	0.00000000000	4.2212	9.530732
2.18	-33364.19367609060	0.00000000000	5.33660000000	-33364.25567256060	0.00000000000	2.99480000000	-33364.29598243060	0.00000000000	4.1545	9.5421426
2.19	-33364.21484319100	0.00000000000	5.35600000000	-33364.27314080730	0.00000000000	2.95100000000	-33364.31110634170	0.00000000000	4.0882	9.5535234
2.2	-33364.23146266100	0.00000000000	5.37420000000	-33364.28601721730	0.00000000000	2.90970000000	-33364.32203613520	0.00000000000	4.0251	9.5643328
2.21	-33364.24287535080	0.00000000000	5.39100000000	-33364.29401623690	0.00000000000	2.87080000000	-33364.32804094830	0.00000000000	3.9641	9.575261
2.22	-33364.24972807790	0.00000000000	5.40590000000	-33364.29768411460	0.00000000000	2.83690000000	-33364.32967591540	0.00000000000	3.9081	9.5858188
2.23	-33364.25271364470	0.00000000000	5.41520000000	-33364.29766180530	0.00000000000	2.80010000000	-33364.32776057430	0.00000000000	3.8484	9.5959474
2.24	-33364.25110735980	0.00000000000	5.42900000000	-33364.29305514790	0.00000000000	2.76290000000	-33364.32165673890	0.00000000000	3.7912	9.6058646
2.25	-33364.24561253050	0.00000000000	5.44450000000	-33364.28505011730	0.00000000000	2.72930000000	-33364.31191133110	0.00000000000	3.7359	9.6156236
2.26	-33364.23636612540	0.00000000000	5.45600000000	-33364.27358937770	0.00000000000	2.69760000000	-33364.29867517420	0.00000000000	3.6828	9.6251458
2.27	-33364.22369422950	0.00000000000	5.46660000000	-33364.25850273810	0.00000000000	2.65790000000	-33364.28225860590	0.00000000000	3.623	9.6345492
2.28	-33364.20808037720	0.00000000000	5.47640000000	-33364.24060633770	0.00000000000	2.62300000000	-33364.26308560040	0.00000000000	3.5693	9.6435512
2.29	-33364.18831192500	0.00000000000	5.48510000000	-33364.21907406030	0.00000000000	2.59300000000	-33364.23994572110	0.00000000000	3.5193	9.6530856
2.3	-33364.16537281140	0.00000000000	5.44860000000	-33364.19414017280	0.00000000000	2.56210000000	-33364.21383144400	0.00000000000	3.469	9.6617864
2.31	-33364.14001666970	0.00000000000	5.33930000000	-33364.16690367030	0.00000000000	2.52870000000	-33364.18550247180	0.00000000000	3.4163	9.6702896
2.32	-33364.11007183010	0.00000000000	5.23860000000	-33364.13547653740	0.00000000000	2.49980000000	-33364.15276340100	0.00000000000	3.3683	9.6784616
2.33	-33364.07874470180	0.00000000000	5.13840000000	-33364.10248378840	0.00000000000	2.46740000000	-33364.11872990300	0.00000000000	3.3169	9.6867872
2.34	-33364.04475092840	0.00000000000	5.04300000000	-33364.06700610250	0.00000000000	2.44040000000	-33364.08220117950	0.00000000000	3.2717	9.6949026
2.35	-33364.00840260420	0.00000000000	4.94820000000	-33364.02939775850	0.00000000000	2.41330000000	-33364.04350589530	0.00000000000	3.2262	9.702849
2.36	-33363.96960175600	0.00000000000	4.85550000000	-33363.98918869450	0.00000000000	2.38660000000	-33364.00249762430	0.00000000000	3.1812	9.7106642
2.37	-33363.92886299900	0.00000000000	4.76430000000	-33363.94730331990	0.00000000000	2.35950000000	-33363.95967812310	0.00000000000	3.136	9.718609
2.38	-33363.88571063710	0.00000000000	4.67660000000	-33363.90315907790	0.00000000000	2.33460000000	-33363.91455575780	0.00000000000	3.0936	9.7261378
2.39	-33363.84012496780	0.00000000000	4.58880000000	-33363.85643472180	0.00000000000	2.30770000000	-33363.86711210910	0.00000000000	3.0489	9.733525
2.4	-33363.79277338750	0.00000000000	4.50270000000	-33363.80803132020	0.00000000000	2.28030000000	-33363.81801269710	0.00000000000	3.004	9.7407626
