a0	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Spin Moment (uB)
2	-43085.58286038190	0.00000000000	0.00000000000	-43085.56388774340	0.00000000000	0.00000000000	-43085.73808067830	0.00000000000	5.392	3.2329088
2.005	-43085.61427666830	0.00000000000	0.00000000000	-43085.59531425190	0.00000000000	0.00000000000	-43085.76618942190	0.00000000000	5.3854	3.2389414
2.01	-43085.64371932560	0.00000000000	0.00000000000	-43085.62487186230	0.00000000000	0.00000000000	-43085.79240463840	0.00000000000	5.3785	3.2450392
2.015	-43085.67110745960	0.00000000000	0.00000000000	-43085.65226476920	0.00000000000	0.00000000000	-43085.81664839300	0.00000000000	5.3719	3.2513868
2.02	-43085.69669072940	0.00000000000	0.00000000000	-43085.67785345130	0.00000000000	0.00000000000	-43085.83915442900	0.00000000000	5.3645	3.2570456
2.025	-43085.72010842480	0.00000000000	0.00000000000	-43085.70131238970	0.00000000000	0.00000000000	-43085.85956089330	0.00000000000	5.3568	3.262645
2.03	-43085.74244861010	0.00000000000	0.00000000000	-43085.72377948080	0.00000000000	0.00000000000	-43085.87893931220	0.00000000000	5.3496	3.2680814
2.035	-43085.76272974000	0.00000000000	0.00000000000	-43085.74416906040	0.00000000000	0.00000000000	-43085.89634370180	0.00000000000	5.3409	3.2736108
2.04	-43085.78099008330	0.00000000000	0.00000000000	-43085.76262183730	0.00000000000	0.00000000000	-43085.91182149860	0.00000000000	5.3338	3.2790604
2.045	-43085.79795271900	0.00000000000	0.00000000000	-43085.77965463480	0.00000000000	0.00000000000	-43085.92606862570	0.00000000000	5.3242	3.2842728
2.05	-43085.81309678150	0.00000000000	0.00000000000	-43085.79491543290	0.00000000000	0.00000000000	-43085.93854422530	0.00000000000	5.3147	3.289517
2.055	-43085.82683512890	0.00000000000	0.00000000000	-43085.80886022370	0.00000000000	0.00000000000	-43085.94974750980	0.00000000000	5.3045	3.2946612
2.06	-43085.83910853970	0.00000000000	0.00000000000	-43085.82113712840	0.00000000000	0.00000000000	-43085.95943409060	0.00000000000	5.2956	3.2996972
2.065	-43085.84954813350	0.00000000000	0.00000000000	-43085.83180361490	0.00000000000	0.00000000000	-43085.96736513200	0.00000000000	5.2854	3.3046436
2.07	-43085.85917556900	0.00000000000	0.00000000000	-43085.84143356200	0.00000000000	0.00000000000	-43085.97453110050	0.00000000000	5.2756	3.3094166
2.075	-43085.86689532340	0.00000000000	0.00000000000	-43085.84918525720	0.00000000000	0.00000000000	-43085.97986962200	0.00000000000	5.2651	3.3142294
2.08	-43085.87312084820	0.00000000000	0.00000000000	-43085.85554721580	0.00000000000	0.00000000000	-43085.98376656530	0.00000000000	5.2541	3.3191412
2.085	-43085.87680369760	0.00000000000	0.00000000000	-43085.85947511890	0.00000000000	0.00000000000	-43085.98519781550	0.00000000000	5.2425	3.323972
2.09	-43085.88029392290	0.00000000000	0.00000000000	-43085.86315843220	0.00000000000	0.00000000000	-43085.98645808160	0.00000000000	5.2295	3.3289476
2.095	-43085.88255490590	0.00000000000	0.00000000000	-43085.86539475890	0.00000000000	0.00000000000	-43085.98654508600	0.00000000000	5.2164	3.3337654
2.1	-43085.88379181370	0.00000000000	0.00000000000	-43085.86677000950	0.00000000000	0.00000000000	-43085.98565939570	0.00000000000	5.2036	3.3386462
2.105	-43085.88370872770	0.00000000000	0.00000000000	-43085.86658200050	0.00000000000	0.00000000000	-43085.98350301880	0.00000000000	5.1901	3.3432314
2.11	-43085.88227948980	0.00000000000	0.00000000000	-43085.86561917130	0.00000000000	0.00000000000	-43085.98004710020	0.00000000000	5.1766	3.3475526
2.115	-43085.87981832750	0.00000000000	0.00000000000	-43085.86327399760	0.00000000000	0.00000000000	-43085.97555166950	0.00000000000	5.1628	3.3523892
2.12	-43085.87555168060	0.00000000000	0.00000000000	-43085.85917941660	0.00000000000	0.00000000000	-43085.96923568180	0.00000000000	5.1488	3.3567126
2.125	-43085.87072572120	0.00000000000	0.00000000000	-43085.85446916280	0.00000000000	0.00000000000	-43085.96250372560	0.00000000000	5.1332	3.3610394
2.13	-43085.86505899470	0.00000000000	0.00000000000	-43085.84888009770	0.00000000000	0.00000000000	-43085.95498638590	0.00000000000	5.1126	3.3652164
2.135	-43085.85823247220	0.00000000000	0.00000000000	-43085.84227916440	0.00000000000	0.00000000000	-43085.94632714830	0.00000000000	5.0623	3.3693348
2.14	-43085.84988698480	0.00000000000	0.00000000000	-43085.83423811950	0.00000000000	0.00000000000	-43085.93618920110	0.00000000000	5.0129	3.3734562
2.145	-43085.84050609540	0.00000000000	0.00000000000	-43085.82491536600	0.00000000000	0.00000000000	-43085.92508697580	0.00000000000	4.964	3.3773864
2.15	-43085.82990486190	0.00000000000	0.00000000000	-43085.81418906070	0.00000000000	0.00000000000	-43085.91277730710	0.00000000000	4.9149	3.3813974
