a0	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Spin Moment (uB)
2.1	-33689.70405610700	-4.26781526000	1.23287145000	-33689.81850485130	-4.32503963213	2.27412078000	-33689.87967471750	-4.355624565	4.36399739	9.2172
2.11	-33689.77102890280	-4.30130165788	1.36533955000	-33689.87866282320	-4.35511861812	2.39000723000	-33689.93644751300	-4.384010963	4.28792281	9.2381
2.12	-33689.83104473520	-4.33130957413	1.49430094000	-33689.93227552800	-4.38192497050	2.50262344000	-33689.98684249600	-4.409208455	4.2142498	9.2584
2.13	-33689.88440237720	-4.35798839512	1.61992309000	-33689.97961436950	-4.40559439125	2.61202428000	-33690.03112002400	-4.431347219	4.14236026	9.2782
2.14	-33689.93138429870	-4.38147935587	1.74222196000	-33690.02094049200	-4.42625745250	2.71829354000	-33690.06953615800	-4.450555286	4.07244771	9.2974
2.15	-33689.97225799300	-4.40191620300	1.86123699000	-33690.05649971200	-4.44403706250	2.71133377000	-33690.10232743950	-4.466950926	4.0044389	9.3161
2.16	-33690.00727929900	-4.41942685600	1.97705392000	-33690.08652792720	-4.45905117012	2.66862085000	-33690.12972476900	-4.480649591	3.9382193	9.3343
2.17	-33690.03670482200	-4.43413961750	2.05642438000	-33690.11126160500	-4.47141800900	2.62727986000	-33690.15195677300	-4.491765593	3.87358877	9.352
2.18	-33690.06077773150	-4.44617607225	2.02283783000	-33690.13092602500	-4.48125021900	2.58717778000	-33690.16924234850	-4.500408381	3.81071427	9.3692
2.19	-33690.07973372300	-4.45565406800	1.99009377000	-33690.14574094650	-4.48865767975	2.54835575000	-33690.18179798400	-4.506686198	3.74945432	9.3859
2.2	-33690.09379826480	-4.46268633888	1.95845634000	-33690.15591665550	-4.49374553425	2.43893663000	-33690.18982650950	-4.510700461	3.68954978	9.4022
2.21	-33690.10318807030	-4.46738124163	1.92783308000	-33690.16165340970	-4.49661391137	2.47433716000	-33690.19352227100	-4.512548342	3.63119217	9.418
2.22	-33690.10811339370	-4.46984390337	1.89796856000	-33690.16314591320	-4.49736016312	2.43893663000	-33690.19307690300	-4.512325658	3.57440468	9.4334
2.23	-33690.10876785900	-4.47017113600	1.86906069000	-33690.16057854650	-4.49607647975	2.40453818000	-33690.18866778600	-4.5101211	3.51864711	9.4484
2.24	-33690.10534213230	-4.46845827263	1.84114888000	-33690.15412603150	-4.49285022225	2.37116085000	-33690.18046582800	-4.506020121	3.46437322	9.4631
2.25	-33690.09801464380	-4.46479452838	1.81398251000	-33690.14395445520	-4.48776443412	2.33865152000	-33690.16863491900	-4.500104666	3.41143413	9.4773
2.26	-33690.08695418700	-4.45926430000	1.78765629000	-33690.13022370550	-4.48089905925	2.30712848000	-33690.15332757300	-4.492450993	3.35924432	9.4912
2.27	-33690.07232614680	-4.45195027988	1.76203686000	-33690.11308887150	-4.47233164225	2.27655630000	-33690.13469439150	-4.483134402	3.30845011	9.5048
2.28	-33690.05428670030	-4.44293055663	1.73697348000	-33690.09269563950	-4.46213502625	2.24672555000	-33690.11288070000	-4.472227557	3.25879425	9.518
2.29	-33690.03298644200	-4.43228042750	1.71258465000	-33690.06918734830	-4.45038088063	2.21756392000	-33690.08802217000	-4.459798292	3.20974823	9.5309
2.3	-33690.00858085700	-4.42007763500	1.68893340000	-33690.04270384400	-4.43713912850	2.18908961000	-33690.06025990450	-4.445917159	3.16182733	9.5435
2.31	-33689.98120945680	-4.40639193488	1.66543750000	-33690.01338676050	-4.42248058675	2.16123356000	-33690.02972752150	-4.430650967	3.11504339	9.5559
2.32	-33689.95101854730	-4.39129648013	1.64252361000	-33689.98136351970	-4.40646896638	2.13401621000	-33689.99655101600	-4.414062714	3.06855881	9.5679
2.33	-33689.91813484670	-4.37485462987	1.61988043000	-33689.94676308380	-4.38916874838	2.10722114000	-33689.96085527600	-4.396214844	3.02308664	9.5796
2.34	-33689.88268538930	-4.35712990113	1.59757526000	-33689.90969983980	-4.37063712638	2.08103884000	-33689.92275687100	-4.377165642	2.97856899	9.5911
2.35	-33689.84479116200	-4.33818278750	1.57569815000	-33689.87029028400	-4.35093234850	2.05521001000	-33689.88236271000	-4.356968562	2.93413811	9.6023
2.36	-33689.80456373100	-4.31806907200	1.55409452000	-33689.82864645450	-4.33011043375	2.02981746000	-33689.83978564050	-4.335680027	2.89059699	9.6133
2.37	-33689.76211568480	-4.29684504888	1.53286213000	-33689.78486855970	-4.30822148638	2.00484546000	-33689.79512188250	-4.313348148	2.8478925	9.624
2.38	-33689.71755135970	-4.27456288637	1.51161807000	-33689.73905306430	-4.28531373863	1.98025175000	-33689.74846683400	-4.290020623	2.80520253	9.6345
2.39	-33689.67097084750	-4.25127263025	1.49039526000	-33689.69130023220	-4.26143732262	1.95592569000	-33689.69991910550	-4.265746759	2.76323279	9.6448
2.4	-33689.62247446380	-4.22702443838	1.46936748000	-33689.64170088750	-4.23663765025	1.93182089000	-33689.64956556750	-4.24056999	2.72188982	9.6548
