a0	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Spin Moment (uB)
2.1	-33663.45512073820	-4.63814999462	1.11576196000	-33663.56589705250	-4.69353815175	2.14977315000	-33663.62897611400	-4.72507768250	4.27416985	9.1976
2.11	-33663.51148033630	-4.66632979362	1.24973397000	-33663.61541872600	-4.71829898850	2.26751830000	-33663.67500072500	-4.74808998800	4.19774477	9.2191
2.12	-33663.56105326120	-4.69111625612	1.38024360000	-33663.65857539200	-4.73987732150	2.38200095000	-33663.71482766850	-4.76800345975	4.12362505	9.2399
2.13	-33663.60413322430	-4.71265623763	1.50735901000	-33663.69562961250	-4.75840443175	2.49327395000	-33663.74871766000	-4.78494845550	4.05161434	9.2602
2.14	-33663.64099990500	-4.73108957800	1.63115860000	-33663.72684337200	-4.77401131150	2.60141149000	-33663.77691924900	-4.79904925000	3.98129647	9.2799
2.15	-33663.67191793700	-4.74654859400	1.75170359000	-33663.75245826500	-4.78681875800	2.62108596000	-33663.79966899950	-4.81042412525	3.91294528	9.2991
2.16	-33663.69714541220	-4.75916233162	1.86901271000	-33663.77270791680	-4.79694358387	2.57792100000	-33663.81719332550	-4.81918628825	3.8464335	9.3178
2.17	-33663.71693203950	-4.76905564525	1.96544590000	-33663.78782403500	-4.80450164300	2.53627476000	-33663.82971768300	-4.82544846700	3.78164571	9.336
2.18	-33663.73151862300	-4.77634893700	1.93103940000	-33663.79803073870	-4.80960499487	2.49597134000	-33663.83745917450	-4.82931921275	3.71850954	9.3537
2.19	-33663.74114036600	-4.78115980850	1.89758993000	-33663.80354326330	-4.81236125713	2.45674658000	-33663.84062681400	-4.83090303250	3.65707901	9.371
2.2	-33663.74601857850	-4.78359891475	1.86524220000	-33663.80456998380	-4.81287461738	2.41894995000	-33663.83942772200	-4.83030348650	3.59699923	9.3877
2.21	-33663.74636853000	-4.78377389050	1.83387232000	-33663.80130749520	-4.81124337312	2.38235973000	-33663.83404776700	-4.82761350900	3.53862056	9.404
2.22	-33663.74239880430	-4.78178902762	1.80330296000	-33663.79394985700	-4.80756455400	2.34669047000	-33663.82467889300	-4.82292907200	3.48169694	9.4199
2.23	-33663.73430052830	-4.77773988963	1.77368612000	-33663.78267586220	-4.80192755662	2.31208542000	-33663.81149304200	-4.81633614650	3.42592848	9.4354
2.24	-33663.72225926370	-4.77171925737	1.74496384000	-33663.76765906720	-4.79441915912	2.27853697000	-33663.79466014800	-4.80791969950	3.37161094	9.4504
2.25	-33663.70645510250	-4.76381717675	1.71714578000	-33663.74906443950	-4.78512184525	2.24593847000	-33663.77434152100	-4.79776038600	3.31862506	9.4651
2.26	-33663.68705213750	-4.75411569425	1.69034275000	-33663.72704641680	-4.77411283387	2.21430207000	-33663.75068608550	-4.78593266825	3.26646187	9.4794
2.27	-33663.66421598850	-4.74269761975	1.66409540000	-33663.70175982150	-4.76146953625	2.18359381000	-33663.72384470350	-4.77251197725	3.21571102	9.4935
2.28	-33663.63810059750	-4.72963992425	1.63850433000	-33663.67334886170	-4.74726405637	2.15377939000	-33663.69395680350	-4.75756802725	3.16615126	9.5071
2.29	-33663.60885241400	-4.71501583250	1.61359352000	-33663.64195248600	-4.73156586850	2.12466157000	-33663.66115941450	-4.74116933275	3.11718759	9.5204
2.3	-33663.57662376870	-4.69890150987	1.58933372000	-33663.60770852630	-4.71444388862	2.09621756000	-33663.62558604250	-4.72338264675	3.06944758	9.5334
2.31	-33663.54155662250	-4.68136793675	1.56563824000	-33663.57075686100	-4.69596805600	2.06841686000	-33663.58737124400	-4.70427524750	3.02277461	9.5461
2.32	-33663.50379045250	-4.66248485175	1.54228489000	-33663.53122124830	-4.67620024963	2.04131394000	-33663.54663969300	-4.68390947200	2.97654478	9.5585
2.33	-33663.46345492050	-4.64231708575	1.51925926000	-33663.48923110070	-4.65520517587	2.01471970000	-33663.50351310500	-4.66234617800	2.93125576	9.5707
2.34	-33663.42067104550	-4.62092514825	1.49674941000	-33663.44489976270	-4.63303950687	1.98872413000	-33663.45810348350	-4.63964136725	2.88698466	9.5825
2.35	-33663.37555825670	-4.59836875387	1.47438412000	-33663.39833497880	-4.60975711487	1.96314438000	-33663.41051966050	-4.61584945575	2.84286827	9.5941
2.36	-33663.32823284100	-4.57470604600	1.45232324000	-33663.34965099830	-4.58541512462	1.93798349000	-33663.36086683000	-4.59102304050	2.79963766	9.6055
2.37	-33663.27879379480	-4.54998652287	1.43069904000	-33663.29894597350	-4.56006261225	1.91321339000	-33663.30924449800	-4.56521187450	2.75728923	9.6166
2.38	-33663.22735058520	-4.52426491812	1.40922682000	-33663.24631725500	-4.53374825300	1.88879095000	-33663.25574412300	-4.53846168700	2.7150002	9.6274
2.39	-33663.17400289700	-4.49759107400	1.38805866000	-33663.19185731800	-4.50651828450	1.86477874000	-33663.20046134750	-4.51082029925	2.67342923	9.638
2.4	-33663.11884363020	-4.47001144062	1.36679222000	-33663.13565851650	-4.47841888375	1.84104362000	-33663.14348278250	-4.48233101675	2.63253298	9.6484
