a0	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Spin Moment (uB)
2.1	-33652.17795165640	-4.90208111275	-2.46413978000	-33652.54312381060	-5.08466718987	0.00067991000	-33652.55806925640	-5.09213991275	0.43405832	8.617
2.11	-33652.23786553020	-4.93203804962	-2.33177300000	-33652.57216809080	-5.09918933000	0.00140015000	-33652.59699503600	-5.11160280250	0.51813953	8.6598
2.12	-33652.29105164820	-4.95863110862	-2.20274526000	-33652.59696537660	-5.11158797287	0.00367471000	-33652.63037603200	-5.12829330050	0.59964403	8.7001
2.13	-33652.33779295260	-4.98200176087	-2.07697793000	-33652.61690870540	-5.12155963725	0.00251942000	-33652.65842876240	-5.14231966575	0.67867577	8.7382
2.14	-33652.37836302040	-5.00228679475	-1.95435765000	-33652.63231171440	-5.12926114175	0.00454827000	-33652.68135678800	-5.15378367850	0.75093893	8.7745
2.15	-33652.41302521340	-5.01961789125	-1.83478883000	-33652.64390207880	-5.13505632400	0.00076134000	-33652.69935563540	-5.16278310225	0.81493138	8.809
2.16	-33652.44203942720	-5.03412499812	-1.71820658000	-33652.65228467900	-5.13924762400	0.00181002000	-33652.71262132900	-5.16941594900	0.87702101	8.8421
2.17	-33652.46565868300	-5.04593462600	-1.60456158000	-33652.65709264340	-5.14165160625	0.00216268000	-33652.72134875800	-5.17377966350	0.93121638	8.8738
2.18	-33652.48412455120	-5.05516756012	-1.48310842000	-33652.65825829840	-5.14223443375	0.00013640000	-33652.72572698380	-5.17596877650	0.88505001	8.9043
2.19	-33652.49766988380	-5.06194022650	-1.38237672000	-33652.65648216720	-5.14134636812	0.00351690000	-33652.72594124340	-5.17607590625	0.84064911	8.9336
2.2	-33652.50651440240	-5.06636248575	-1.27067064000	-33652.65161026020	-5.13891041462	0.00374938000	-33652.72216863940	-5.17418960425	0.79796582	8.9619
2.21	-33652.51086718620	-5.06853887762	-1.16858591000	-33652.64338215580	-5.13479636250	0.00064861000	-33652.71458009780	-5.17039533350	0.75694934	8.9891
2.22	-33652.51093061800	-5.06857059350	-1.06918028000	-33652.63238060140	-5.12929558525	0.00204876000	-33652.70334266380	-5.16477661650	0.71754696	9.0154
2.23	-33652.50689615120	-5.06655336012	-0.97239405000	-33652.61875430600	-5.12248243750	0.00196404000	-33652.68861501180	-5.15741279050	0.67971143	9.0408
2.24	-33652.49894738780	-5.06257897850	-0.87816720000	-33652.60245845940	-5.11433451425	0.00116241000	-33652.67054844340	-5.14837950625	0.64338823	9.0653
2.25	-33652.48726084920	-5.05673570912	-0.78644493000	-33652.58371211360	-5.10496134137	0.00095048000	-33652.64928928640	-5.13774992775	0.60853042	9.089
2.26	-33652.47200447040	-5.04910751975	-0.69717667000	-33652.56246395500	-5.09433726200	0.00422496000	-33652.62497571440	-5.12559314175	0.57508173	9.1119
2.27	-33652.45334131800	-5.03977594350	-0.61031577000	-33652.53852731840	-5.08236894375	0.00600092000	-33652.59774304000	-5.11197680450	0.54299325	9.1342
2.28	-33652.43142869160	-5.02881963037	-0.52581868000	-33652.51169235840	-5.06895146375	0.01021647000	-33652.56772182740	-5.09696619825	0.5122117	9.1557
2.29	-33652.40641644680	-5.01631350800	-0.44364120000	-33652.48200618220	-5.05410837562	0.01013107000	-33652.53503728700	-5.08062392800	0.48268898	9.1766
2.3	-33652.37845253840	-5.00233155375	-0.36374407000	-33652.44964350660	-5.03792703787	0.01004868000	-33652.49981363840	-5.06301210375	0.45437375	9.1969
2.31	-33652.34767880920	-4.98694468912	-0.28608741000	-33652.41473185140	-5.02047121025	0.00383391000	-33652.46217079980	-5.04419068450	0.42721503	9.2165
2.32	-33652.31423158880	-4.97022107900	-0.21652815000	-33652.37739183740	-5.00180120325	0.00989400000	-33652.42222419540	-5.02421738225	0.40116201	9.2356
2.33	-33652.27824222700	-4.95222639800	-0.14050124000	-33652.33773966500	-4.98197511700	0.00254372000	-33652.38008569680	-5.00314813300	0.37616415	9.2542
2.34	-33652.23983387460	-4.93302222187	-0.06727368000	-33652.29588489420	-4.96104773162	0.00216076000	-33652.33585977880	-4.98103517400	0.35217114	9.2722
2.35	-33652.19912417700	-4.91266737300	-0.00364530000	-33652.25193201520	-4.93907129212	0.00208503000	-33652.28964663400	-4.95792860150	0.32913297	9.2897
2.36	-33652.15622763080	-4.89121910000	0.00820473000	-33652.20598313720	-4.91609685313	0.00200946000	-33652.24154418880	-4.93387737900	0.30700211	9.3068
2.37	-33652.11125127180	-4.86873092050	0.00816632000	-33652.15813371280	-4.89217214100	0.00193433000	-33652.19164372140	-4.90892714525	0.28573135	9.3234
2.38	-33652.06429798920	-4.84525427912	0.00812841000	-33652.10847596380	-4.86734326650	0.00185992000	-33652.14003328700	-4.88312192800	0.26526892	9.3395
2.39	-33652.01546836800	-4.82083946850	0.00809080000	-33652.05710038160	-4.84165547537	0.00178646000	-33652.08679921840	-4.85650489375	0.24557282	9.3553
2.4	-33651.96485855380	-4.79553456150	0.00805339000	-33652.00409373040	-4.81515214975	0.00171416000	-33652.03202439280	-4.82911748100	0.22659537	9.3706
