a0	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Spin Moment (uB)
2.1	-33689.02985250720	-4.39803569713	-2.34636757000	-33689.37759413040	-4.57190650875	0.00047857000	-33689.40500937180	-4.58561412950	0.55270651000	8.67200000000
2.11	-33689.10448363660	-4.43535126188	-2.21636865000	-33689.42332185700	-4.59477037200	0.00508987000	-33689.45953228240	-4.61287558475	0.63451590000	8.71150000000
2.12	-33689.17213623360	-4.46917756038	-2.08960539000	-33689.46380753440	-4.61501321075	0.00055854000	-33689.50820474280	-4.63721181500	0.71378397000	8.74900000000
2.13	-33689.23310948420	-4.49966418563	-1.96601350000	-33689.49916819040	-4.63269353875	0.00660336000	-33689.55124690500	-4.65873289600	0.79060197000	8.78460000000
2.14	-33689.28768965540	-4.52695427125	-1.83609853000	-33689.53019928700	-4.64820908700	0.00035375000	-33689.58887434140	-4.67754661425	0.85872172000	8.81850000000
2.15	-33689.33614640420	-4.55118264562	-1.72052021000	-33689.55761071260	-4.66191479988	0.00166105000	-33689.62129294040	-4.69375591375	0.92063396000	8.85100000000
2.16	-33689.37873993340	-4.57247941025	-1.60450576000	-33689.58109492420	-4.67365690563	0.00082210000	-33689.64870762940	-4.70746325825	0.98065298000	8.88220000000
2.17	-33689.41572104540	-4.59096996625	-1.49319350000	-33689.60049413960	-4.68335651337	0.00303943000	-33689.67132145440	-4.71877017075	1.03883013000	8.91220000000
2.18	-33689.44732921620	-4.60677405163	-1.38477853000	-33689.61654483780	-4.69138186250	0.00240763000	-33689.68933096640	-4.72777492675	1.00267029000	8.94100000000
2.19	-33689.47379806340	-4.62000847525	-1.28384563000	-33689.62906951640	-4.69764420175	0.00690958000	-33689.70292832740	-4.73457360725	0.95837217000	8.96880000000
2.2	-33689.49535143320	-4.63078516013	-1.17634757000	-33689.63782645580	-4.70202267150	0.00098827000	-33689.71229704740	-4.73925796725	0.91575102000	8.99560000000
2.21	-33689.51220483160	-4.63921185938	-1.07620635000	-33689.64344909200	-4.70483398950	0.00060348000	-33689.71761391800	-4.74191640250	0.87475745000	9.02130000000
2.22	-33689.52456760620	-4.64539324662	-0.97870928000	-33689.64607778020	-4.70614833363	0.00131265000	-33689.71905150240	-4.74263519475	0.83533980000	9.04620000000
2.23	-33689.53263763440	-4.64942826075	-0.88380835000	-33689.64569880400	-4.70595884550	0.00190309000	-33689.71677377000	-4.74149632850	0.79745150000	9.07020000000
2.24	-33689.53660326680	-4.65141107700	-0.79145527000	-33689.64253361520	-4.70437625113	0.00512169000	-33689.71093736880	-4.73857812800	0.76103861000	9.09340000000
2.25	-33689.53664501920	-4.65143195313	-0.70160373000	-33689.63645962320	-4.70133925513	0.00315537000	-33689.70169305940	-4.73395597325	0.72605459000	9.11590000000
2.26	-33689.53293356180	-4.64957622450	-0.61420746000	-33689.62728420740	-4.69675154725	0.00301306000	-33689.68918385280	-4.72770137000	0.69244347000	9.13760000000
2.27	-33689.52563429660	-4.64592659187	-0.52922114000	-33689.61482810400	-4.69052349550	0.00955631000	-33689.67354940840	-4.71988414775	0.66015660000	9.15870000000
2.28	-33689.51490656820	-4.64056272763	-0.45040937000	-33689.59919084620	-4.68270486663	0.01705165000	-33689.65492467980	-4.71057178350	0.62914088000	9.17910000000
2.29	-33689.50090280360	-4.63356084538	-0.36629873000	-33689.58055290160	-4.67338589438	0.00867734000	-33689.63343894240	-4.69982891475	0.59934837000	9.19890000000
2.3	-33689.48377297580	-4.62499593150	-0.29055167000	-33689.55905072220	-4.66263480463	0.00772004000	-33689.60922081640	-4.68771985175	0.57072788000	9.21810000000
2.31	-33689.46366161620	-4.61494025163	-0.21248781000	-33689.53481447520	-4.65051668113	0.00849849000	-33689.58239419900	-4.67430654300	0.54322855000	9.23670000000
2.32	-33689.44070799740	-4.60346344225	-0.13889437000	-33689.50796963900	-4.63709426300	0.00841054000	-33689.55307870500	-4.65964879600	0.51679967000	9.25480000000
2.33	-33689.41504596720	-4.59063242713	-0.06745627000	-33689.47863740960	-4.62242814838	0.00832357000	-33689.52138992780	-4.64380440750	0.49139084000	9.27240000000
2.34	-33689.38680131720	-4.57651010212	0.00186446000	-33689.44693146920	-4.60657517812	0.00589501000	-33689.48743611640	-4.62682750175	0.46695187000	9.28940000000
2.35	-33689.35609437140	-4.56115662925	0.00820430000	-33689.41296033080	-4.58958960900	0.00395600000	-33689.45132091440	-4.60876990075	0.44343287000	9.30600000000
2.36	-33689.32304256020	-4.54463072363	0.00816362000	-33689.37683008020	-4.57152448362	0.00806814000	-33689.41314591840	-4.58968240275	0.42078647000	9.32210000000
2.37	-33689.28775520320	-4.52698704513	0.00812352000	-33689.33863965520	-4.55242927113	0.00491555000	-33689.37300558580	-4.56961223650	0.39896561000	9.33790000000
2.38	-33689.25033798040	-4.50827843375	0.00808390000	-33689.29848444300	-4.53235166500	0.00790200000	-33689.33099135240	-4.54860511975	0.37791875000	9.35310000000
2.39	-33689.21089384940	-4.48855636825	0.00804457000	-33689.25645804640	-4.51133846675	0.00782001000	-33689.28719288240	-4.52670588475	0.35760404000	9.36790000000
2.4	-33689.16952174520	-4.46787031613	0.00800541000	-33689.21265004920	-4.48943446813	0.00929950000	-33689.24169610140	-4.50395749425	0.33797409000	9.38240000000
