a0	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Energy (eV/fu)	Ecohesive	Band gap (eV)	Spin Moment (uB)
2.1	-33699.81109304280	-4.63829466450	-1.35275408000	-33699.95417568980	-4.70983598800	0.00289966000	-33700.03915649440	-4.75232639025	1.70461883	9.0428
2.11	-33699.87534331560	-4.67041980087	-1.18820803000	-33700.00679441060	-4.73614534838	0.00113163000	-33700.08946121640	-4.77747875125	1.78907262	9.0702
2.12	-33699.93268758160	-4.69909193388	-1.03588348000	-33700.05447672840	-4.75998650725	0.00532793000	-33700.13364607800	-4.79957118200	1.86407765	9.0968
2.13	-33699.98340156100	-4.72444892350	-0.95404403000	-33700.09686436600	-4.78118032600	0.00284170000	-33700.17196549480	-4.81873089050	1.93125758	9.1226
2.14	-33700.02774158860	-4.74661893737	-0.80403314000	-33700.13375294920	-4.79962461763	0.00480647000	-33700.20464476340	-4.83507052475	1.97555451	9.1475
2.15	-33700.06597079660	-4.76573354138	-0.66486074000	-33700.16502177920	-4.81525903262	0.13367314000	-33700.23190313840	-4.84869971225	1.92016959	9.1717
2.16	-33700.09835256020	-4.78192442313	-0.54826343000	-33700.19086384600	-4.82818006600	0.23512102000	-33700.25395191040	-4.85972409825	1.86640013	9.1951
2.17	-33700.12511710660	-4.79530669637	-0.46040462000	-33700.21149757020	-4.83849692813	0.33376373000	-33700.27098076640	-4.86823852625	1.81418397	9.2177
2.18	-33700.14650774020	-4.80600201313	-0.32843267000	-33700.22713621680	-4.84631625150	0.42944166000	-33700.28320244800	-4.87434936700	1.76349395	9.2396
2.19	-33700.16277412420	-4.81413520512	-0.21734698000	-33700.23800960160	-4.85175294388	0.52222879000	-33700.29083913480	-4.87816771050	1.71438876	9.2608
2.2	-33700.17413105720	-4.81981367162	-0.11314687000	-33700.24432362540	-4.85490995575	0.49895628000	-33700.29408114940	-4.87978871775	1.66688725	9.2812
2.21	-33700.18078352060	-4.82313990338	-0.03410459000	-33700.24627231920	-4.85588430263	0.47212225000	-33700.29311166000	-4.87930397300	1.62090441	9.301
2.22	-33700.18294526100	-4.82422077350	0.08012056000	-33700.24404443700	-4.85477036150	0.44641132000	-33700.28811903140	-4.87680765875	1.57642056	9.3201
2.23	-33700.18081907640	-4.82315768125	0.08379376000	-33700.23781000420	-4.85165314512	0.42181726000	-33700.27927156240	-4.87238392425	1.53340348	9.3385
2.24	-33700.17460145780	-4.82004887200	0.07024061000	-33700.22774275260	-4.84661951938	0.39819866000	-33700.26673329740	-4.86611479175	1.49169934	9.3564
2.25	-33700.16447922360	-4.81498775487	0.05750719000	-33700.21401203420	-4.83975416013	0.37551190000	-33700.25066015240	-4.85807821925	1.451195	9.3736
2.26	-33700.15060914860	-4.80805271738	0.04543031000	-33700.19675914000	-4.83112771300	0.35372303000	-33700.23118650980	-4.84834139800	1.41178285	9.3904
2.27	-33700.13315091820	-4.79932360212	0.03399345000	-33700.17613449720	-4.82081539162	0.33281450000	-33700.20845521740	-4.83697575175	1.37343474	9.4067
2.28	-33700.11226697160	-4.78888162888	0.02333120000	-33700.15229329500	-4.80889479050	0.31286102000	-33700.18261005440	-4.82405317025	1.33622648	9.4225
2.29	-33700.08810736080	-4.77680182350	0.06826399000	-33700.12537679660	-4.79543654138	0.29393307000	-33700.15377918640	-4.80963773625	1.30021431	9.4379
2.3	-33700.06082683040	-4.76316155825	0.06831875000	-33700.09552733180	-4.78051180900	0.27605161000	-33700.12209746440	-4.79379687525	1.2653766	9.4529
2.31	-33700.03058604760	-4.74804116688	0.06450021000	-33700.06288876380	-4.76419252500	0.25917483000	-33700.08770506500	-4.77660067550	1.23166376	9.4676
2.32	-33699.99754032200	-4.73151830400	0.05670220000	-33700.02759899340	-4.74654763975	0.24313593000	-33700.05073606980	-4.75811617800	1.19901226	9.4818
2.33	-33699.96183188140	-4.71366408375	0.04930374000	-33699.98978732920	-4.72764180763	0.22777789000	-33700.01131467500	-4.73840548050	1.16735645	9.4958
2.34	-33699.92359786840	-4.69454707725	0.04228447000	-33699.94958320940	-4.70753974775	0.21304252000	-33699.96956468440	-4.71753048525	1.13667235	9.5096
2.35	-33699.88295966540	-4.67422797575	0.03567953000	-33699.90710365640	-4.68629997125	0.19888661000	-33699.92559906800	-4.69554767700	1.10691278	9.5231
2.36	-33699.84002710140	-4.65276169375	0.02962653000	-33699.86245644840	-4.66397636725	0.18525428000	-33699.87952438140	-4.67251033375	1.07801946	9.5364
2.37	-33699.79490665620	-4.63020147113	0.02423406000	-33699.81574693600	-4.64062161100	0.17213519000	-33699.83144275440	-4.64846952025	1.04996065	9.5494
2.38	-33699.74770103640	-4.60659866125	0.01946473000	-33699.76707303020	-4.61628465812	0.15952585000	-33699.78144797000	-4.62347212800	1.02270896	9.5622
2.39	-33699.69850973480	-4.58200301050	0.06530469000	-33699.71652403420	-4.59101016013	0.14741884000	-33699.72962908200	-4.59756268400	0.99625369	9.5748
2.4	-33699.64743352220	-4.55646490413	0.06529819000	-33699.66418737200	-4.56484182900	0.13575488000	-33699.67607604980	-4.57078616800	0.97054448	9.5871
