   T		           <E>	                err<E>                <M>                err<M>                 <|M|>                  <X>                 err<X>                   <C>               err<C>
  0.50000000           -1.99999805          0.000000000000           -0.99999951          0.000000000000           0.99999951          -0.00199808          0.000000000000           0.00006250          0.000000000000
  0.68750000           -1.99999805          0.000000000000           -0.99999951          0.000000000000           0.99999951          -0.00145315          0.000000000000           0.00003306          0.000000000000
  0.87500000           -1.99948524          0.000208637864           -0.99987131          0.000052159466           0.99987131          -0.00088426          0.000118541535           0.00535642          0.002167616638
  1.06250000           -1.99660962          0.000579274585           -0.99913010          0.000144818646           0.99913010           0.00101257          0.000260340758           0.02703193          0.003920425537
  1.25000000           -1.98444961          0.001470726178           -0.99586870          0.000386140241           0.99586870           0.01124633          0.000724343231           0.09546023          0.007514914840
  1.43750000           -1.95604377          0.002590107727           -0.98754598          0.000768389612           0.98754598           0.03496724          0.003066394587           0.25325908          0.017319110382
  1.62500000           -1.90752407          0.005377397904           -0.65629902          0.002987560251           0.65629902           0.26237925          0.071134699640           0.46131337          0.076640164324
  1.81250000           -1.78268458          0.008560526517            0.06548340          0.005794916288           0.06548340           0.88097036          0.126011795628           1.37942637          0.106462807437
  2.00000000           -1.69086659          0.010290904710            0.32471223          0.006412695686           0.32471223           1.24758479          0.115044118700           1.40519523          0.088708426760
  2.18750000           -1.50525702          0.010909208632           -0.01839095          0.006949561446           0.01839095           1.54195492          0.091528002642           1.72328538          0.064562820047
  2.37500000           -1.35667066          0.010880995606           -0.08216238          0.007465836686           0.08216238           1.69455769          0.082588123398           1.51929619          0.058277433403
  2.56250000           -1.12385791          0.010372287648           -0.10517214          0.007956574265           0.10517214           1.77821558          0.060012024949           1.25347656          0.043624617945
  2.75000000           -1.00369910          0.011630340401           -0.11648810          0.008603286703           0.11648810           1.55855829          0.055473407056           0.95961055          0.039448432033
  2.93750000           -0.85936264          0.009811076558           -0.04289030          0.007630244444           0.04289030           1.26558515          0.041805334558           0.69413924          0.036333020370
  3.12500000           -0.75118296          0.009764667951            0.01832124          0.007952638839           0.01832124           1.01565403          0.038920709521           0.52539911          0.030329817637
  3.31250000           -0.70867160          0.008703277898            0.00907857          0.006852891085           0.00907857           0.85918217          0.027712935043           0.41964510          0.020496576835
  3.50000000           -0.65693074          0.007932300705           -0.01186108          0.006083507119           0.01186108           0.71639699          0.024692458218           0.33979219          0.015974691388
  3.68750000           -0.60703399          0.007750518395            0.03463892          0.006035535204           0.03463892           0.61296858          0.024293495642           0.29447429          0.013405670571
  3.87500000           -0.56512310          0.007464293537            0.00162246          0.005714635088           0.00162246           0.52690718          0.021767641886           0.24592897          0.012484570910
  4.06250000           -0.52354194          0.007421772093            0.01307982          0.005005764295           0.01307982           0.44835437          0.015823692640           0.20462980          0.009414175228
  4.25000000           -0.49936300          0.006946696555            0.01281119          0.004900347125           0.01281119           0.40430893          0.018501900367           0.19140748          0.010272720375
  4.43750000           -0.46789992          0.006347925189           -0.00693787          0.004959278616           0.00693787           0.35119820          0.014584361379           0.15326299          0.007462843006
  4.62500000           -0.44722232          0.007066378670           -0.00183965          0.004769760166           0.00183965           0.31784752          0.013625549308           0.14139008          0.006558710327
  4.81250000           -0.41826203          0.006431043196            0.00613468          0.004407985576           0.00613468           0.27220509          0.013275614773           0.12412339          0.005648684690
  5.00000000           -0.40200377          0.006792774506            0.00374806          0.004395609097           0.00374806           0.24203110          0.013692847763           0.10831160          0.005627906152
